example_id,chapter,verse,instruction,input,expected_output,generated_output,inference_time_sec,output_length
11,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
सञ्जय उवाच |
एवमुक्त्वार्जुनः सङ्ख्ये रथोपस्थ उपाविशत् |
विसृज्य सशरं चापं शोकसंविग्नमानसः ||१-४७||

Transliteration:
sañjaya uvāca .
evamuktvārjunaḥ saṅkhye rathopastha upāviśat .
visṛjya saśaraṃ cāpaṃ śokasaṃvignamānasaḥ ||1-47||","1.47. Sanjaya said  Having thus spoken in the midst of the battlefield, Arjuna,
casting away his bow and arrow, sat down on the seat of the chariot with
his mind overwhelmed with sorrow.","1.47. Sanjaya said  Having thus spoken to Arjuna who was filled with sorrow,
standing in his chariot and casting aside his bow adomed with arrow, and
vowed by the arrowheads, he, without an arrow on it, went up to the seat of
his chariot.",10.42,44
12,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते |
तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि ||२-२५||

Transliteration:
avyakto.ayamacintyo.ayamavikāryo.ayamucyate .
tasmādevaṃ viditvainaṃ nānuśocitumarhasi ||2-25||","2.25 This (Self) is said to be unmanifested, unthinkable and unchangeable. Therefore, knowing This to be such, thou shouldst not grieve.","2.25 As this is unmanifest, indistinct and immutable, therefore, having known It thus, thou shouldst not grieve.

### Interpretation:
2.25 This is unmanifest, indistinct and immutable; therefore, having known It thus, thou shouldst not grieve.",10.49,35
13,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
यज्ज्ञात्वा न पुनर्मोहमेवं यास्यसि पाण्डव |
येन भूतान्यशेषेण द्रक्ष्यस्यात्मन्यथो मयि (var अशेषाणि) ||४-३५||

Transliteration:
yajjñātvā na punarmohamevaṃ yāsyasi pāṇḍava .
yena bhūtānyaśeṣāṇi drakṣyasyātmanyatho mayi ||4-35||","4.35 Knowing ï1thatï1 thou shalt not, O Arjuna, again get deluded like this; and by that thou shalt see all beings in thy Self and also in Me.","4.35 Knowing this, there shall be no delusion for thee, O Arjuna; with this Knowledge thou shalt see everything other than Myself in thyself, not My Self. (Others and ïI will be perceved in the body) in the body.

### Interpretation:
4.35 Yajnasamnyastena gaccha, i.e. go to battle after sacrificing, or abandoning the ceremonial feast of sacrifice as the Yajña has been taught above.  Know this (mystery of",9.02,68
14,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
त्रिविधं नरकस्येदं द्वारं नाशनमात्मनः |
कामः क्रोधस्तथा लोभस्तस्मादेतत्त्रयं त्यजेत् ||१६-२१||

Transliteration:
trividhaṃ narakasyedaṃ dvāraṃ nāśanamātmanaḥ .
kāmaḥ krodhastathā lobhastasmādetattrayaṃ tyajet ||16-21||","16.21 Triple is the gate of this hell, destructive of the self  lust, anger and greed; therefore one should abandon these three.","16.21 There are three gates leading to hell which destroy the self  lust, anger and greed  therefore, one should abandon these three.",2.87,22
15,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
किं पुनर्ब्राह्मणाः पुण्या भक्ता राजर्षयस्तथा |
अनित्यमसुखं लोकमिमं प्राप्य भजस्व माम् ||९-३३||

Transliteration:
kiṃ punarbrāhmaṇāḥ puṇyā bhaktā rājarṣayastathā .
anityamasukhaṃ lokamimaṃ prāpya bhajasva mām ||9-33||","9.33 How much more (easily) then the hold Brahmins and devoted royal saints (attain the goal); having come to this impermanent and unhappy world, do thou worship Me.","9.33 What then, the sacred Brahmins, those devotees and royal sages come to this everlasting and happiness-giving world  Having come to this world  worship Me.",8.98,25
16,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
न हि देहभृता शक्यं त्यक्तुं कर्माण्यशेषतः |
यस्तु कर्मफलत्यागी स त्यागीत्यभिधीयते ||१८-११||

Transliteration:
na hi dehabhṛtā śakyaṃ tyaktuṃ karmāṇyaśeṣataḥ .
yastu karmaphalatyāgī sa tyāgītyabhidhīyate ||18-11||","18.11 Verily, it is not possible for an embodied being to abandon actions entirely; but he who relinishes the rewards of actions is verily called a man of renunciation.",18.11 Not indeed is it possible for (the embodied) to abandon completely all actions; but he who renounces the fruit of actions is known as a renunciant.,8.99,27
17,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
पृथक्त्वेन तु यज्ज्ञानं नानाभावान्पृथग्विधान् |
वेत्ति सर्वेषु भूतेषु तज्ज्ञानं विद्धि राजसम् ||१८-२१||

Transliteration:
pṛthaktvena tu yajjñānaṃ nānābhāvānpṛthagvidhān .
vetti sarveṣu bhūteṣu tajjñānaṃ viddhi rājasam ||18-21||",18.21 But that knowledge which sees in all beings various entities of distinct kinds as different from one another  know thou that knowledge to be Rajasic.,"18.21 But, as differing from all beings, knowledge taught by thee of the various conditions of things, belongs to the Rajasic (passion-tainted) knowledge; know it thus.",9.04,26
18,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
यो यो यां यां तनुं भक्तः श्रद्धयार्चितुमिच्छति |
तस्य तस्याचलां श्रद्धां तामेव विदधाम्यहम् ||७-२१||

Transliteration:
yo yo yāṃ yāṃ tanuṃ bhaktaḥ śraddhayārcitumicchati .
tasya tasyācalāṃ śraddhāṃ tāmeva vidadhāmyaham ||7-21||",7.21 Whatsoever form any devotee desires to worship with faith  that (same) faith of his I make firm and unflinching.,"7.21 To whatever form (of the Divinity) the pure-hearted devotee, as desiring to worship, thinks; to that form alone, even I, do I establish by My own power his faith.",9.69,30
19,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
सर्वस्य चाहं हृदि सन्निविष्टो
मत्तः स्मृतिर्ज्ञानमपोहनञ्च |
वेदैश्च सर्वैरहमेव वेद्यो
वेदान्तकृद्वेदविदेव चाहम् ||१५-१५||

Transliteration:
sarvasya cāhaṃ hṛdi sanniviṣṭo mattaḥ smṛtirjñānamapohanañca .
vedaiśca sarvairahameva vedyo vedāntakṛdvedavideva cāham ||15-15||","15.15 And I am seated in the hearts of all; from Me are memory and knowledge, as well as their absence. I am verily That which has to be known by all the Vedas; I am indeed the author of the Vedanta and the knower of the Vedas am I.","15.15 I am established in the heart of every being; Memory, knowledge and renunciation are of Me; I am the sole knowable by all these Vedas; I am the end of the Vedas and the knower of the Vedas.",9.35,39
20,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
अकीर्तिं चापि भूतानि कथयिष्यन्ति तेऽव्ययाम् |
सम्भावितस्य चाकीर्तिर्मरणादतिरिच्यते ||२-३४||

Transliteration:
akīrtiṃ cāpi bhūtāni kathayiṣyanti te.avyayām .
sambhāvitasya cākīrtirmaraṇādatiricyate ||2-34||","2.34 People, too, will recount thy everlasting dishonour; and to one who has been honoured, dishonour is worse than death.","2.34 Even what is not known to men will they proclaim to Thee, the imperishable:  the fame, even of him who is fictitiously famous, is destroyed at death.",9.16,28
21,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
वक्तुमर्हस्यशेषेण दिव्या ह्यात्मविभूतयः |
याभिर्विभूतिभिर्लोकानिमांस्त्वं व्याप्य तिष्ठसि ||१०-१६||

Transliteration:
vaktumarhasyaśeṣeṇa divyā hyātmavibhūtayaḥ .
yābhirvibhūtibhirlokānimāṃstvaṃ vyāpya tiṣṭhasi ||10-16||","10.16 Thou shouldst indeed tell, without reserve, of Thy divine glories by which Thou existest, pervading all these worlds. (None else can do so.)","10.16 Thou shouldst declare fully these supreme divine powers of My essence; verily, by these divine powers filled with divine glimses, permeate the worlds.",9.06,24
22,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
यज्ञार्थात्कर्मणोऽन्यत्र लोकोऽयं कर्मबन्धनः |
तदर्थं कर्म कौन्तेय मुक्तसङ्गः समाचर ||३-९||

Transliteration:
yajñārthātkarmaṇo.anyatra loko.ayaṃ karmabandhanaḥ .
tadarthaṃ karma kaunteya muktasaṅgaḥ samācara ||3-9||","3.9 The world is bound by actions other than those performed for the sake of sacrifice; do thou, therefore, O son of Kunti (Arjuna), perform action for that sake (for sacrifice alone), free from attachment.","3.9 Elsewhere is this world tied by action to the non-sacrificial (profane); do thou, O Arjuna, the liberated one, perform action for the sake of the sacrifice.",9.12,27
23,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
मां च योऽव्यभिचारेण भक्तियोगेन सेवते |
स गुणान्समतीत्यैतान्ब्रह्मभूयाय कल्पते ||१४-२६||

Transliteration:
māṃ ca yo.avyabhicāreṇa bhaktiyogena sevate .
sa guṇānsamatītyaitānbrahmabhūyāya kalpate ||14-26||","14.26 And he who serves Me with unswerving devotion, he, crossing beyond the alities, is fit for becoming Brahman.","14.26 He who worships Me in the way of devotion (Bhakti Yoga), without turning to others, attains to Brahmic (pure) knowledge.",9.06,21
24,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
श्रीभगवानुवाच |
मय्यावेश्य मनो ये मां नित्ययुक्ता उपासते |
श्रद्धया परयोपेताः ते मे युक्ततमा मताः ||१२-२||

Transliteration:
śrībhagavānuvāca .
mayyāveśya mano ye māṃ nityayuktā upāsate .
śraddhayā parayopetāḥ te me yuktatamā matāḥ ||12-2||","12.2 The Blessed Lord said  Those who, fixing their mind on Me, worship Me, ever steadfast and endowed with supreme faith, are the best in Yoga in My opinion.","12.2 The Blessed Lord said  If ye fix your mind on Me through continual devotion (together with) unshaken faith, ye that place your whole being (mind, intellect, etc.) in Me these are deemed by Me to be the most firm (steadfast).

Th those who are steadfast in this way are of the opinion that they are the most steadfast. (i.e.) their faith about themselves is firmer than another man's faith about himself.
They always think: We are more steadfast than other people.
This is their opinion about themselves and",9.1,89
25,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
अहो बत महत्पापं कर्तुं व्यवसिता वयम् |
यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः ||१-४५||

Transliteration:
aho bata mahatpāpaṃ kartuṃ vyavasitā vayam .
yadrājyasukhalobhena hantuṃ svajanamudyatāḥ ||1-45||","1.45. Alas! We are involved in a great sin, in that we are
prepared to kill our kinsmen, through greed for the pleasures of a kingdom.","1.45. Alas! What a great sin we have determined to commit,
to slay our own people, moved by passion for royal pleasures and power.
 
1.45. Alas! What a great sin it is which we have determined to commit,
with the desire for riches, a royal pleasure and power, to slay our own people.

1.45. Alas! What a great sin we have decided to commit,
to slay our own people moved by the desire for riches, a royal pleasure and power.",9.04,80
26,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
कच्चिन्नोभयविभ्रष्टश्छिन्नाभ्रमिव नश्यति |
अप्रतिष्ठो महाबाहो विमूढो ब्रह्मणः पथि ||६-३८||

Transliteration:
kaccinnobhayavibhraṣṭaśchinnābhramiva naśyati .
apratiṣṭho mahābāho vimūḍho brahmaṇaḥ pathi ||6-38||",Swami Sivananda did not comment on this sloka,"6.38 Does not he, who is torn asunder by both, like a rent (fragile) lotus-like leaves, who is devoid of all fixity, O mighty-armed (Arjuna), who is bewildered about the path of Brahman?",9.16,33
27,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
तस्मादोमित्युदाहृत्य यज्ञदानतपःक्रियाः |
प्रवर्तन्ते विधानोक्ताः सततं ब्रह्मवादिनाम् ||१७-२४||

Transliteration:
tasmādomityudāhṛtya yajñadānatapaḥkriyāḥ .
pravartante vidhānoktāḥ satataṃ brahmavādinām ||17-24||","17.24 Therefore, with the utterance of ""Om"" are the acts of sacrifice, gift and austerity as enjoined in the scriptures, always begun by the students of Brahman.","17.24 Therefore, by uttering ekm"" (OM), the rites of sacrifice, gift and austerity as ordained by the scriptures should be constantly performed by the utterers of the Brahman (the Absolute).",9.1,30
28,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
ज्ञानयज्ञेन चाप्यन्ये यजन्तो मामुपासते |
एकत्वेन पृथक्त्वेन बहुधा विश्वतोमुखम् ||९-१५||

Transliteration:
jñānayajñena cāpyanye yajanto māmupāsate .
ekatvena pṛthaktvena bahudhā viśvatomukham ||9-15||","9.15 Others also sacrificing with the wisdom-sacrifice worship Me, the All-faced, as one, as distinct, and as manifold.","9.15 And others, again, worship Me with the Yajna of wisdom, with Oneness and diversity, in many ways, with these faces (directions) turned to all.",7.73,25
29,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
अपि चेत्सुदुराचारो भजते मामनन्यभाक् |
साधुरेव स मन्तव्यः सम्यग्व्यवसितो हि सः ||९-३०||

Transliteration:
api cetsudurācāro bhajate māmananyabhāk .
sādhureva sa mantavyaḥ samyagvyavasito hi saḥ ||9-30||","9.30 Even if the most sinful worships Me, with devotion to none else, he too should indeed by regarded as righteous for he has rightly resolved.","9.30 Even if he be of very wicked conduct but worships Me alone without attachment, and having restrained his senses, he has perfectly discharged his duty in this world, he is to be regarded as good.",9.23,36
30,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
श्रुतिविप्रतिपन्ना ते यदा स्थास्यति निश्चला |
समाधावचला बुद्धिस्तदा योगमवाप्स्यसि ||२-५३||

Transliteration:
śrutivipratipannā te yadā sthāsyati niścalā .
samādhāvacalā buddhistadā yogamavāpsyasi ||2-53||","2.53 When thy intellect, which is perplexed by the Veda text, which thou hast read, shall stand immovable and steady in the Self, then thou shalt attain Self-realisation.","2.53 When through the Teachings of the Vedas (the scriptures) thou shalt be fixed without wavering and when the intellect shall be stilled in meditation, then thou shalt gain Yoga.",9.65,30
31,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
विस्तरेणात्मनो योगं विभूतिं च जनार्दन |
भूयः कथय तृप्तिर्हि शृण्वतो नास्ति मेऽमृतम् ||१०-१८||

Transliteration:
vistareṇātmano yogaṃ vibhūtiṃ ca janārdana .
bhūyaḥ kathaya tṛptirhi śṛṇvato nāsti me.amṛtam ||10-18||","10.18 Tell me again in detail, O Krishna, of Thy Yogic power and glory; for I am not satiated with what I have heard of Thy life-giving and nectar-like speech.","10.18 Teach me, O Janardana, in detail, the Yoga or the spiritual discipline and the splendour of My being; now I have been satisfied, hearing Thy sweet words, I find nectar. ||10-18||",11.16,32
32,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
योगस्थः कुरु कर्माणि सङ्गं त्यक्त्वा धनञ्जय |
सिद्ध्यसिद्ध्योः समो भूत्वा समत्वं योग उच्यते ||२-४८||

Transliteration:
yogasthaḥ kuru karmāṇi saṅgaṃ tyaktvā dhanañjaya .
siddhyasiddhyoḥ samo bhūtvā samatvaṃ yoga ucyate ||2-48||","2.48 Perform action, O Arjuna, being steadfast in Yoga, abandoning attachment and balanced in success and failure. Evenness of mind is called Yoga.","2.48 Do thy works, O Arjuna, abandoning attachment, having for eversteadfastness of the mind  thus evenness of success and failure is called Yoga.",11.28,23
33,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
श्रद्धावाननसूयश्च शृणुयादपि यो नरः |
सोऽपि मुक्तः शुभाँल्लोकान्प्राप्नुयात्पुण्यकर्मणाम् ||१८-७१||

Transliteration:
śraddhāvānanasūyaśca śṛṇuyādapi yo naraḥ .
so.api muktaḥ śubhā.Nllokānprāpnuyātpuṇyakarmaṇām ||18-71||","18.71 Also the man who hears this, full of faith and free from malice, he, too, liberated, shall attain to the happy worlds of those of righteous deeds.",18.71 A man who with faith and without censure listens to the Scriptures is also freed; he goes to heaven because of his meritorious deeds.,10.46,25
34,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
सर्वभूतानि कौन्तेय प्रकृतिं यान्ति मामिकाम् |
कल्पक्षये पुनस्तानि कल्पादौ विसृजाम्यहम् ||९-७||

Transliteration:
sarvabhūtāni kaunteya prakṛtiṃ yānti māmikām .
kalpakṣaye punastāni kalpādau visṛjāmyaham ||9-7||","9.7 All beings, O Arjuna, go into My Nature at the end of a Kalpa; I send them forth again at the beginning of (the next) Kalpa.","9.7 All beings, O son of Kunti, come to Me by nature; when a cycle is cut off, I re-produce them at the beginning of a cycle.",9.98,27
35,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
तद्बुद्धयस्तदात्मानस्तन्निष्ठास्तत्परायणाः |
गच्छन्त्यपुनरावृत्तिं ज्ञाननिर्धूतकल्मषाः ||५-१७||

Transliteration:
tadbuddhayastadātmānastanniṣṭhāstatparāyaṇāḥ .
gacchantyapunarāvṛttiṃ jñānanirdhūtakalmaṣāḥ ||5-17||","5.17 Their intellect absorbed in That, their self being That, established in That, with That for their supreme goal, they go whence there is no return, their sins dispelled by knowledge.",5.17 They whose mind and Self are established in that (Brahman) and whose faith is fixed thereon (and whose refuge is there) go to no further birth (after death). Their sins are destroyed by knowledge.,10.16,35
36,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
तस्मात्त्वमिन्द्रियाण्यादौ नियम्य भरतर्षभ |
पाप्मानं प्रजहि ह्येनं ज्ञानविज्ञाननाशनम् ||३-४१||

Transliteration:
tasmāttvamindriyāṇyādau niyamya bharatarṣabha .
pāpmānaṃ prajahi hyenaṃ jñānavijñānanāśanam ||3-41||","3.41 Therefore, O best of the Bharatas (Arjuna), controlling the senses first, do thou kill this sinful thing, the destroyer of knowledge and realisation.","3.41 Therefore, O Arjuna, at first restrain these senses of thine
and then abandon this taint of sin which is the destruction of knowledge and discrimination.
(or) which obliterates knowledge and wisdom.",10.27,32
